Team,Position,Rating
Browns,LG,90
Browns,C,70
Browns,RG,89
Browns,RT,79
Browns,DT,70
Browns,LE,82
Browns,RE,99
Browns,LOLB,70
Browns,MLB,77
Browns,ROLB,78
Browns,FS,82
Browns,SS,76
Browns,CB1,92
Browns,CB2,81
Browns,K,73
Browns,P,78
Cowboys,QB,89
Cowboys,HB,88
Cowboys,WR1,85
Cowboys,WR2,83
Cowboys,WR3,74
Cowboys,TE,82
Cowboys,LT,95
Cowboys,LG,70
Cowboys,C,71
Cowboys,RG,98
Cowboys,RT,69
Cowboys,DT,73
Cowboys,LE,90
Cowboys,RE,74
Cowboys,LOLB,65
Cowboys,MLB,80
Cowboys,ROLB,88
Cowboys,FS,76
Cowboys,SS,80
Cowboys,CB1,84
Cowboys,CB2,77
Cowboys,K,67
Cowboys,P,83
Broncos,QB,87
Broncos,HB,83
Broncos,WR1,84
Broncos,WR2,82
Broncos,WR3,80
Broncos,TE,74
Broncos,LT,82
Broncos,LG,78
Broncos,C,72
Broncos,RG,76
Broncos,RT,72
Broncos,DT,76
Broncos,LE,75
Broncos,RE,69
Broncos,LOLB,78
Broncos,MLB,76
Broncos,ROLB,81
Broncos,FS,91
Broncos,SS,81
Broncos,CB1,83
Broncos,CB2,78
Broncos,K,78
Broncos,P,78
Lions,QB,72
Lions,HB,80
Lions,WR1,78
Lions,WR2,78
Lions,WR3,78
Lions,TE,89
Lions,LT,80
Lions,LG,74
Lions,C,87
Lions,RG,70
Lions,RT,80
Lions,DT,72
Lions,LE,69
Lions,RE,73
Lions,LOLB,77
Lions,MLB,72
Lions,ROLB,76
Lions,FS,77
Lions,SS,78
Lions,CB1,78
Lions,CB2,77
Lions,K,71
Lions,P,79
Packers,QB,96
Packers,HB,89
Packers,WR1,79
Packers,WR2,78
Packers,WR3,77
Packers,TE,80
Packers,LT,94
Packers,LG,72
Packers,C,71
Packers,RG,69
Packers,RT,85
Packers,DT,89
Packers,LE,75
Packers,RE,73
Packers,LOLB,89
Packers,MLB,87
Packers,ROLB,82
Packers,FS,79
Packers,SS,88
Packers,CB1,94
Packers,CB2,80
Packers,K,72
Packers,P,72
Texans,QB,71
Texans,HB,75
Texans,WR1,87
Texans,WR2,74
Texans,WR3,73
Texans,TE,70
Texans,LT,88
Texans,LG,72
Texans,C,73
Texans,RG,73
Texans,RT,71
Texans,DT,72
Texans,LE,79
Texans,RE,77
Texans,LOLB,68
Texans,MLB,75
Texans,ROLB,74
Texans,FS,73
Texans,SS,72
Texans,CB1,80
Texans,CB2,79
Texans,K,71
Texans,P,75
Colts,QB,81
Colts,HB,95
Colts,WR1,83
Colts,WR2,75
Colts,WR3,74
Colts,TE,75
Colts,LT,69
Colts,LG,95
Colts,C,82
Colts,RG,65
Colts,RT,85
Colts,DT,90
Colts,LE,74
Colts,RE,82
Colts,LOLB,90
Colts,MLB,81
Colts,ROLB,66
Colts,FS,76
Colts,SS,79
Colts,CB1,91
Colts,CB2,87
Colts,K,74
Colts,P,76
Jaguars,QB,76
Jaguars,HB,84
Jaguars,WR1,82
Jaguars,WR2,81
Jaguars,WR3,77
Jaguars,TE,81
Jaguars,LT,74
Jaguars,LG,68
Jaguars,C,66
Jaguars,RG,87
Jaguars,RT,71
Jaguars,DT,80
Jaguars,LE,77
Jaguars,RE,71
Jaguars,LOLB,76
Jaguars,MLB,80
Jaguars,ROLB,85
Jaguars,FS,74
Jaguars,SS,73
Jaguars,CB1,84
Jaguars,CB2,82
Jaguars,K,66
Jaguars,P,81
Chiefs,QB,95
Chiefs,HB,79
Chiefs,WR1,80
Chiefs,WR2,79
Chiefs,WR3,76
Chiefs,TE,98
Chiefs,LT,80
Chiefs,LG,88
Chiefs,C,86
Chiefs,RG,77
Chiefs,RT,66
Chiefs,DT,91
Chiefs,LE,74
Chiefs,RE,78
Chiefs,LOLB,71
Chiefs,MLB,79
Chiefs,ROLB,69
Chiefs,FS,77
Chiefs,SS,82
Chiefs,CB1,81
Chiefs,CB2,78
Chiefs,K,84
Chiefs,P,73
Raiders,QB,83
Raiders,HB,87
Raiders,WR1,99
Raiders,WR2,85
Raiders,WR3,77
Raiders,TE,91
Raiders,LT,84
Raiders,LG,73
Raiders,C,70
Raiders,RG,71
Raiders,RT,68
Raiders,DT,74
Raiders,LE,69
Raiders,RE,77
Raiders,LOLB,87
Raiders,MLB,82
Raiders,ROLB,90
Raiders,FS,79
Raiders,SS,78
Raiders,CB1,80
Raiders,CB2,80
Raiders,K,81
Raiders,P,84
Chargers,QB,88
Chargers,HB,88
Chargers,WR1,91
Chargers,WR2,86
Chargers,WR3,73
Chargers,TE,76
Chargers,LT,84
Chargers,LG,78
Chargers,C,91
Chargers,RG,73
Chargers,RT,63
Chargers,DT,74
Chargers,LE,81
Chargers,RE,73
Chargers,LOLB,91
Chargers,MLB,77
Chargers,ROLB,92
Chargers,FS,75
Chargers,SS,93
Chargers,CB1,90
Chargers,CB2,82
Chargers,K,72
Chargers,P,72
Dolphins,QB,75
Dolphins,HB,79
Dolphins,WR1,97
Dolphins,WR2,84
Dolphins,WR3,75
Dolphins,TE,86
Dolphins,LT,93
Dolphins,LG,63
Dolphins,C,64
Dolphins,RG,74
Dolphins,RT,68
Dolphins,DT,71
Dolphins,LE,83
Dolphins,RE,78
Dolphins,LOLB,84
Dolphins,MLB,79
Dolphins,ROLB,76
Dolphins,FS,83
Dolphins,SS,80
Dolphins,CB1,89
Dolphins,CB2,87
Dolphins,K,75
Dolphins,P,80
Vikings,QB,80
Vikings,HB,94
Vikings,WR1,93
Vikings,WR2,88
Vikings,WR3,76
Vikings,TE,73
Vikings,LT,74
Vikings,LG,73
Vikings,C,74
Vikings,RG,69
Vikings,RT,83
Vikings,DT,77
Vikings,LE,75
Vikings,RE,70
Vikings,LOLB,88
Vikings,MLB,88
Vikings,ROLB,86
Vikings,FS,75
Vikings,SS,80
Vikings,CB1,78
Vikings,CB2,75
Vikings,K,70
Vikings,P,75
Patriots,QB,78
Patriots,HB,82
Patriots,WR1,82
Patriots,WR2,81
Patriots,WR3,81
Patriots,TE,84
Patriots,LT,79
Patriots,LG,79
Patriots,C,85
Patriots,RG,70
Patriots,RT,84
Patriots,DT,77
Patriots,LE,78
Patriots,RE,76
Patriots,LOLB,87
Patriots,MLB,80
Patriots,ROLB,74
Patriots,FS,87
Patriots,SS,82
Patriots,CB1,81
Patriots,CB2,81
Patriots,K,78
Patriots,P,80
Giants,QB,70
Giants,HB,86
Giants,WR1,82
Giants,WR2,81
Giants,WR3,79
Giants,TE,71
Giants,LT,76
Giants,LG,67
Giants,C,72
Giants,RG,76
Giants,RT,77
Giants,DT,68
Giants,LE,79
Giants,RE,83
Giants,LOLB,75
Giants,MLB,78
Giants,ROLB,75
Giants,FS,81
Giants,SS,76
Giants,CB1,82
Giants,CB2,73
Giants,K,81
Giants,P,72
Jets,QB,73
Jets,HB,76
Jets,WR1,79
Jets,WR2,79
Jets,WR3,76
Jets,TE,79
Jets,LT,77
Jets,LG,81
Jets,C,77
Jets,RG,74
Jets,RT,78
Jets,DT,86
Jets,LE,81
Jets,RE,83
Jets,LOLB,72
Jets,MLB,82
Jets,ROLB,66
Jets,FS,78
Jets,SS,77
Jets,CB1,80
Jets,CB2,79
Jets,K,75
Jets,P,73
Eagles,QB,74
Eagles,HB,82
Eagles,WR1,87
Eagles,WR2,83
Eagles,WR3,78
Eagles,TE,85
Eagles,LT,84
Eagles,LG,75
Eagles,C,90
Eagles,RG,72
Eagles,RT,92
Eagles,DT,88
Eagles,LE,80
Eagles,RE,74
Eagles,LOLB,82
Eagles,MLB,79
Eagles,ROLB,79
Eagles,FS,79
Eagles,SS,80
Eagles,CB1,92
Eagles,CB2,79
Eagles,K,76
Eagles,P,71
Steelers,QB,69
Steelers,HB,85
Steelers,WR1,85
Steelers,WR2,78
Steelers,WR3,74
Steelers,TE,79
Steelers,LT,69
Steelers,LG,73
Steelers,C,68
Steelers,RG,78
Steelers,RT,70
Steelers,DT,82
Steelers,LE,75
Steelers,RE,93
Steelers,LOLB,96
Steelers,MLB,82
Steelers,ROLB,75
Steelers,FS,89
Steelers,SS,78
Steelers,CB1,79
Steelers,CB2,77
Steelers,K,82
Steelers,P,69
Titans,QB,83
Titans,HB,97
Titans,WR1,86
Titans,WR2,73
Titans,WR3,70
Titans,TE,79
Titans,LT,81
Titans,LG,64
Titans,C,81
Titans,RG,77
Titans,RT,66
Titans,DT,70
Titans,LE,79
Titans,RE,88
Titans,LOLB,74
Titans,MLB,78
Titans,ROLB,83
Titans,FS,92
Titans,SS,81
Titans,CB1,77
Titans,CB2,75
Titans,K,71
Titans,P,79
Commanders,QB,73
Commanders,HB,80
Commanders,WR1,91
Commanders,WR2,78
Commanders,WR3,75
Commanders,TE,78
Commanders,LT,80
Commanders,LG,82
Commanders,C,80
Commanders,RG,77
Commanders,RT,73
Commanders,DT,92
Commanders,LE,86
Commanders,RE,80
Commanders,LOLB,69
Commanders,MLB,72
Commanders,ROLB,79
Commanders,FS,78
Commanders,SS,79
Commanders,CB1,89
Commanders,CB2,83
Commanders,K,73
Commanders,P,82
